instno,instlvl,couninstno,cityinstno,instname,fullname,shortname,status
340223005,3,340223,3402,南陵县弋江镇营业所,南陵县弋江镇营业所,弋江镇营业所,0
340223006,3,340223,3402,南陵县何湾镇营业所,南陵县何湾镇营业所,何湾镇营业所,0
340223008,3,340223,3402,南陵县峨岭营业所,南陵县峨岭营业所,峨岭营业所,0
340223009,3,340223,3402,南陵县三里营业所,南陵县三里营业所,三里营业所,0
340223010,3,340223,3402,南陵县代镇营业所,南陵县代镇营业所,代镇营业所,0
340223011,3,340223,3402,南陵县烟墩营业所,南陵县烟墩营业所,烟墩营业所,0
340223012,3,340223,3402,南陵县奚滩营业所,南陵县奚滩营业所,奚滩营业所,0
340223013,3,340223,3402,南陵县蒲桥营业所,南陵县蒲桥营业所,蒲桥营业所,0
340223014,3,340223,3402,南陵县工山镇营业所,南陵县工山镇营业所,工山镇营业所,0
340223017,3,340223,3402,南陵县家发镇营业所,南陵县家发镇营业所,家发镇营业所,0
340223018,3,340223,3402,南陵县葛林营业所,南陵县葛林营业所,葛林营业所,0
340225,2,340225,3402,无为县,无为县,无为县,0
340225001,3,340225,3402,无为县十字街营业所,无为县十字街营业所,十字街营业所,0
340225002,3,340225,3402,无为县北门营业所,无为县北门营业所,北门营业所,0
340225004,3,340225,3402,无为县汤沟镇营业所,无为县汤沟镇营业所,汤沟镇营业所,0
340225006,3,340225,3402,无为县石涧镇营业所,无为县石涧镇营业所,石涧镇营业所,0
340225007,3,340225,3402,无为县蜀山镇营业所,无为县蜀山镇营业所,蜀山镇营业所,0
340225008,3,340225,3402,无为县江坝营业所,无为县江坝营业所,江坝营业所,0
340225009,3,340225,3402,无为县无中营业所,无为县无中营业所,无中营业所,0
340225010,3,340225,3402,无为县牛埠镇营业所,无为县牛埠镇营业所,牛埠镇营业所,0
340225011,3,340225,3402,无为县开城镇营业所,无为县开城镇营业所,开城镇营业所,0
340225012,3,340225,3402,无为县泉塘镇营业所,无为县泉塘镇营业所,泉塘镇营业所,0
340225013,3,340225,3402,无为县土桥营业所,无为县土桥营业所,土桥营业所,0
